FGM (PP),FGA (PP),3PM (PP),3PA (PP),FTM (PP),FTA (PP),OREB (PP),DREB (PP),REB (PP),AST (PP),STL (PP),BLK (PP),TO (PP),PF (PP),PTS (PP),FG% (PP),3P% (PP),FT% (PP),H1 (PP),H2 (PP),FGM (O),FGA (O),3PM (O),3PA (O),FTM (O),FTA (O),OREB (O),DREB (O),REB (O),AST (O),STL (O),BLK (O),TO (O),PF (O),PTS (O),FG% (O),3P% (O),FT% (O),H1 (O),H2 (O),H/A
27,48,12,25,8,10,7,21,28,18,7,0,9,14,74,0.563,0.48,0.8,35,39,18,41,9,18,9,11,3,16,19,15,4,1,12,13,54,0.439,0.5,0.818,24,30,H
28,55,13,22,10,12,8,20,28,9,3,0,7,17,79,0.509,0.591,0.833,36,43,27,57,12,28,10,13,10,20,30,11,3,3,7,13,76,0.474,0.429,0.769,38,38,A
40,71,3,16,10,16,17,37,54,20,5,1,15,7,93,0.563,0.188,0.625,44,49,22,67,4,20,6,7,9,17,26,5,9,0,14,16,54,0.328,0.2,0.857,26,28,H
30,44,6,8,14,20,5,18,23,14,10,2,13,12,80,0.682,0.75,0.7,36,44,28,53,13,24,10,13,8,13,21,15,7,0,12,13,79,0.528,0.542,0.769,32,47,A
20,60,5,26,9,13,14,24,38,10,8,7,9,15,54,0.333,0.192,0.692,27,27,24,54,8,17,11,14,8,30,38,15,7,2,13,16,67,0.444,0.471,0.786,39,28,A
22,47,10,14,11,16,9,16,25,14,6,4,11,18,65,0.468,0.714,0.688,30,35,23,44,10,20,13,19,10,16,26,13,5,2,10,16,69,0.523,0.5,0.684,35,34,A
46,85,12,33,6,12,21,34,55,26,11,4,5,10,110,0.541,0.364,0.5,55,55,21,58,7,21,5,8,5,19,24,7,2,4,17,8,54,0.362,0.333,0.625,21,33,H
14,40,5,18,8,11,8,17,25,9,6,2,22,19,41,0.35,0.278,0.727,19,22,24,44,10,22,17,27,9,19,28,19,16,4,13,12,75,0.545,0.455,0.63,35,40,A
19,56,5,22,3,9,15,19,34,13,13,6,19,17,46,0.339,0.227,0.333,27,19,16,50,2,10,17,21,16,22,38,9,12,6,21,8,51,0.32,0.2,0.81,28,23,H
22,52,6,14,11,15,11,25,36,15,3,2,12,18,61,0.423,0.429,0.733,27,34,16,50,5,19,19,26,13,21,34,9,5,1,12,14,56,0.32,0.263,0.731,16,40,A
18,46,9,20,15,22,8,30,38,8,9,4,16,13,60,0.391,0.45,0.682,28,32,15,55,8,28,13,14,11,21,32,13,8,3,12,18,51,0.273,0.286,0.929,26,25,A
27,48,6,13,11,18,12,29,41,15,5,3,14,19,71,0.563,0.462,0.611,40,31,15,40,6,16,11,23,4,14,18,7,2,2,13,17,47,0.375,0.375,0.478,26,21,H
19,42,8,18,9,13,2,21,23,13,5,2,13,14,55,0.452,0.444,0.692,23,32,23,48,6,13,5,8,7,21,28,13,3,2,14,12,57,0.479,0.462,0.625,22,35,H
20,46,7,14,17,22,5,23,28,9,6,2,6,16,64,0.435,0.5,0.773,38,26,19,54,5,15,14,16,12,25,37,12,3,2,8,21,57,0.352,0.333,0.875,22,35,H
20,59,7,27,19,23,16,32,48,6,3,2,14,15,66,0.339,0.259,0.826,32,34,22,62,2,22,11,20,12,25,37,8,10,2,8,22,57,0.355,0.091,0.55,34,23,A
17,60,10,28,12,12,10,14,24,8,10,2,7,16,56,0.283,0.357,1,15,41,22,43,5,12,15,19,7,31,38,12,3,3,16,12,64,0.512,0.417,0.789,24,40,A
16,45,3,15,20,23,4,22,26,6,9,4,6,13,55,0.356,0.2,0.87,20,35,15,46,9,24,9,19,12,26,38,12,5,1,15,18,48,0.326,0.375,0.474,26,22,A
26,52,9,22,13,18,8,27,35,11,7,6,15,17,74,0.5,0.409,0.722,37,37,24,60,8,26,12,22,15,21,36,14,7,1,11,18,68,0.4,0.308,0.545,28,40,H
18,53,1,13,9,14,13,24,37,8,9,6,12,16,46,0.34,0.077,0.643,26,20,15,49,3,14,14,24,15,25,40,7,4,6,14,12,47,0.306,0.214,0.583,17,30,H
25,49,5,16,19,21,10,26,36,5,1,0,11,11,74,0.51,0.313,0.905,31,43,23,58,10,29,7,9,11,16,27,8,2,1,7,17,63,0.397,0.345,0.778,30,33,A
19,54,3,18,14,19,9,16,25,6,6,3,3,11,55,0.352,0.167,0.737,21,34,22,48,1,7,12,13,11,26,37,9,2,4,12,15,57,0.458,0.143,0.923,29,28,H
26,57,11,20,16,17,13,32,45,19,5,6,20,16,79,0.456,0.55,0.941,35,44,21,63,2,19,14,19,12,18,30,8,12,2,12,18,58,0.333,0.105,0.737,26,32,H
17,43,5,14,12,15,5,25,30,5,2,1,10,9,51,0.395,0.357,0.8,26,25,20,48,5,17,5,10,4,22,26,8,8,2,6,13,50,0.417,0.294,0.5,22,28,A
17,47,7,20,19,26,8,34,42,10,5,4,13,15,60,0.362,0.35,0.731,18,42,20,62,4,21,9,17,11,22,33,8,7,2,7,21,53,0.323,0.19,0.529,23,30,H
19,48,7,22,9,15,6,18,24,6,6,1,9,15,54,0.396,0.318,0.6,17,37,18,43,10,21,14,17,8,25,33,9,5,3,13,11,60,0.419,0.476,0.824,21,39,A
26,61,11,29,13,20,13,22,35,8,3,2,15,15,76,0.426,0.379,0.65,29,47,33,67,6,21,12,15,13,26,39,15,3,1,11,20,84,0.493,0.286,0.8,42,42,A
20,56,7,21,15,20,12,28,40,10,6,3,19,17,62,0.357,0.333,0.75,21,41,24,53,1,6,17,24,5,26,31,12,10,7,12,20,66,0.453,0.167,0.708,29,37,A
42,79,17,41,15,23,23,31,54,28,10,3,15,20,116,0.532,0.415,0.652,63,53,24,55,8,21,22,32,3,19,22,9,9,0,13,18,78,0.436,0.381,0.688,37,41,H
38,66,6,23,35,43,19,39,58,26,8,4,19,13,117,0.576,0.261,0.814,51,66,34,85,18,56,9,13,14,15,29,19,10,2,11,32,95,0.4,0.321,0.692,46,49,H
31,66,6,16,24,27,12,29,41,16,8,5,11,12,92,0.47,0.375,0.889,42,50,31,61,6,16,4,9,5,25,30,20,5,10,17,21,72,0.508,0.375,0.444,37,35,H
17,57,4,23,13,19,10,30,40,5,4,5,7,12,51,0.298,0.174,0.684,16,35,17,50,4,16,10,12,5,33,38,9,3,3,10,19,48,0.34,0.25,0.833,20,28,H
36,61,6,21,18,28,15,46,61,21,4,4,16,16,96,0.59,0.286,0.643,45,51,18,62,3,32,12,22,6,17,23,6,7,1,8,18,51,0.29,0.094,0.545,21,30,H
35,67,8,24,5,14,16,29,45,23,14,2,15,12,83,0.522,0.333,0.357,49,34,24,55,9,17,11,14,4,22,26,12,11,3,18,16,68,0.436,0.529,0.786,29,39,H
31,60,10,22,12,17,7,35,42,18,6,5,10,12,84,0.517,0.455,0.706,39,45,27,66,8,27,5,8,6,26,32,11,3,2,9,15,67,0.409,0.296,0.625,39,28,H
45,71,9,21,11,17,9,24,33,28,12,7,6,14,110,0.634,0.429,0.647,52,58,37,68,10,22,7,12,9,19,28,24,2,1,15,18,91,0.544,0.455,0.583,41,50,H
22,47,5,15,17,22,11,26,37,11,6,6,13,11,66,0.468,0.333,0.773,34,32,21,56,6,19,7,11,9,16,25,9,5,3,9,17,55,0.375,0.316,0.636,29,26,A
36,65,4,13,12,17,13,37,50,13,2,4,11,22,88,0.554,0.308,0.706,35,53,22,58,7,20,12,23,5,19,24,11,6,1,6,16,63,0.379,0.35,0.522,23,40,A
28,56,13,25,17,21,12,30,42,22,7,3,13,4,86,0.5,0.52,0.81,32,54,29,66,16,35,0,3,9,20,29,17,8,1,11,17,74,0.439,0.457,0,28,46,H
36,72,13,30,8,13,9,27,36,20,6,4,10,17,93,0.5,0.433,0.615,41,52,32,63,17,34,16,21,7,31,38,21,5,2,13,17,97,0.508,0.5,0.762,46,51,H
28,66,3,20,11,15,18,33,51,18,10,4,10,12,70,0.424,0.15,0.733,34,36,15,57,10,36,8,10,9,22,31,11,3,2,14,14,48,0.263,0.278,0.8,15,33,A
38,61,10,16,15,19,13,27,40,18,9,4,11,10,101,0.623,0.625,0.789,48,53,24,59,9,28,5,7,7,11,18,18,7,2,14,16,62,0.407,0.321,0.714,32,30,A
23,50,4,15,23,29,16,23,39,19,7,2,17,15,73,0.46,0.267,0.793,34,39,33,61,14,27,7,12,9,15,24,30,12,0,11,21,87,0.541,0.519,0.583,45,42,A
41,64,7,19,20,27,13,19,32,17,11,3,8,16,109,0.641,0.368,0.741,54,55,30,56,12,27,11,18,9,15,24,20,2,3,15,20,83,0.536,0.444,0.611,46,37,H
24,63,7,23,20,24,13,30,43,13,6,2,11,20,75,0.381,0.304,0.833,33,42,20,50,8,19,15,25,5,29,34,14,3,3,12,20,63,0.4,0.421,0.6,19,44,H
26,58,8,24,21,31,14,30,44,14,6,5,13,13,81,0.448,0.333,0.677,31,50,30,64,8,24,8,11,5,23,28,17,7,5,9,22,76,0.469,0.333,0.727,31,45,A
26,73,10,38,15,18,15,25,40,12,5,2,12,18,77,0.356,0.263,0.833,32,45,31,67,12,26,20,22,10,33,43,22,8,5,10,15,94,0.463,0.462,0.909,31,63,A
